Code,A000270,A005930,A000660
Name,기아,삼성전자,SK하이닉스
20241128,370892,3244684,1176823
20241129,362693,3168683,1168057
20241202,367769,3133605,1160021
20241203,382604,3133605,1204581
20241204,382995,3104373,1227227
20241205,366988,3139451,1263751
20241206,370111,3162836,1220652
20241209,359179,3121912,1233801
20241210,374015,3156990,1244758
20241211,376748,3156990,1254985
20241212,379481,3268069,1286397
20241213,382995,3279762,1282014
20241216,372063,3250530,1309772
20241217,373625,3168683,1344105
20241218,397440,3209606,1340453
20241219,392755,3104373,1278361
20241220,395097,3098527,1230879
20241223,393926,3127759,1238915
20241224,392755,3180375,1230879
20241226,401734,3133605,1242567
20241227,393926,3139451,1274709
20241230,393145,3110220,1270326
20250102,396659,3121912,1250602
20250103,393145,3180375,1328765
20250106,392365,3268069,1459523
20250107,386899,3238838,1424460
20250108,394317,3349917,1422268
20250109,403296,3279762,1497509
20250110,412276,3232992,1486551
20250113,411495,3162836,1419346
20250114,416570,3151144,1424460
20250115,403296,3139451,1447835
20250116,403687,3174529,1534033
20250117,396269,3139451,1566906
20250120,394317,3121912,1548643
20250121,394317,3127759,1592473
20250122,402125,3174529,1647260
20250123,400954,3139451,1603430
20250124,397050,3139451,1614388
20250131,398221,3063449,1455140
20250203,375186,2981602,1394509
20250204,377529,3080988,1395970
20250205,382995,3092681,1452218
20250206,385728,3156990,1486551
20250207,376748,3139451,1482899
20250210,369330,3250530,1447105
20250211,366207,3256377,1458793
20250212,358008,3262223,1452949
20250213,368159,3262223,1523076
20250214,370892,3273916,1534033
20250217,368159,3273916,1548643
20250218,366597,3326532,1534033
20250219,370892,3431765,1596125
20250220,368940,3414226,1548643
20250221,369330,3402534,1530381
20250224,370501,3349917,1497509
20250225,363864,3344071,1464637
20250226,367378,3308993,1482899
20250227,369330,3291454,1455140
20250228,363864,3186221,1389396
20250304,364255,3186221,1359446
20250305,374406,3156990,1410580
20250306,382604,3174529,1405467
20250307,377919,3139451,1405467
20250310,382604,3139451,1372595
20250311,384166,3133605,1371864
20250312,386899,3209606,1452949
20250313,391974,3197914,1458793
20250314,388460,3197914,1493856
20250317,385728,3367456,1504814
20250318,376358,3367456,1482899
20250319,379091,3420072,1501161
20250320,374796,3519459,1534033
20250321,373625,3607153,1574211
20250324,385337,3536998,1544991
20250325,393536,3496074,1519424
20250326,395878,3589615,1563253
20250327,382214,3613000,1512119
20250328,372063,3519459,1455871
20250331,360351,3379149,1393048
20250401,363864,3437611,1439069
20250402,359570,3437611,1445644
20250403,354495,3367456,1421538
20250404,350200,3279762,1330957
20250407,330289,3110220,1203851
20250408,329118,3127759,1238184
20250409,327166,3098527,1205312
20250410,344344,3297301,1338262
20250411,320138,3227145,1320730
20250414,324042,3285608,1316347
20250415,334974,3308993,1319269
20250416,330679,3197914,1271056
20250417,331851,3221299,1278361
20250418,340830,3232992,1278361
20250421,343563,3238838,1290049
20250422,338878,3215453,1269595
20250423,351371,3256377,1322191
20250424,346686,3256377,1302467
20250425,344344,3256377,1347027
20250428,346296,3262223,1329496
20250429,353714,3262223,1320730
20250430,352933,3244684,1296623
20250502,349029,3174529,1358715
20250507,343953,3192068,1393779
20250508,342782,3192068,1390126
20250509,348638,3203760,1388665
20250512,360741,3367456,1424460
20250513,365816,3326532,1450027
20250514,360741,3355763,1504814
20250515,356056,3349917,1464637
20250516,359179,3320686,1493856
20250519,357227,3262223,1456601
20250520,356056,3268069,1475594
20250521,356056,3256377,1464637
20250522,348248,3197914,1438339
20250523,340049,3168683,1460984
20250526,343953,3197914,1482899
20250527,344344,3151144,1479247
20250528,347467,3268069,1519424
20250529,363864,3279762,1548643
20250530,349029,3285608,1493856
20250602,345125,3320686,1515771
20250604,349810,3379149,1588820
20250605,363474,3455150,1639955
20250609,372063,3496074,1672827
20250610,368940,3460996,1683784
20250611,378310,3501920,1753181
20250612,384166,3478535,1720309
20250613,379481,3408380,1720309
20250616,380652,3344071,1811621
20250617,388851,3396687,1818925
20250618,386118,3496074,1800663
20250619,383385,3460996,1797011
20250620,385337,3478535,1877365
20250623,374406,3390841,1895627
20250624,378310,3536998,2034421
20250625,394707,3583768,2089208
